question_text,source,module_type,toggle_category,keywords,n_keywords,n_tagged,word_count,complexity,Ui,Bi,Ri,selected_for_module,crisis_origin,tagged,constructs
Were/Was there any wages or salarys from this job/these jobs?,Govt Shutdown Income,Generic,Generic Core,"['this job', 'any wages', 'job', 'jobs', 'salary', 'salarys', 'these jobs', 'wage']",8,4,10,0.5,3.0,1.1,2.727272727272727,True,Shutdown 2019,"[{'keyword': 'this job', 'construct': 'Employment', 'weight': 0.7}, {'keyword': 'any wages', 'construct': 'Economic / Income', 'weight': 0.8}, {'keyword': 'job', 'construct': 'Employment', 'weight': 0.7}, {'keyword': 'salary', 'construct': 'Economic / Income', 'weight': 0.8}]","['Economic / Income', 'Employment']"
Did you experience major flooding in your home from Katrina or Rita?,Hurricane Katrina 2007,Crisis-Specific,Toggle: Pandemic / Disaster,"['experience', 'flooding', 'home', 'katrina', 'major flooding', 'rita', 'your home']",7,5,12,2.5,4.55,1.7000000000000002,2.676470588235294,True,Hurricane Katrina 2005,"[{'keyword': 'flooding', 'construct': 'Housing / Shelter', 'weight': 0.95}, {'keyword': 'katrina', 'construct': 'Trauma / Health', 'weight': 0.9}, {'keyword': 'major flooding', 'construct': 'Housing / Shelter', 'weight': 0.95}, {'keyword': 'rita', 'construct': 'Trauma / Health', 'weight': 0.9}, {'keyword': 'your home', 'construct': 'Housing / Shelter', 'weight': 0.85}]","['Housing / Shelter', 'Trauma / Health']"
Did you evacuate from your home before Katrina or Rita hit?,Hurricane Katrina 2007,Crisis-Specific,Toggle: Pandemic / Disaster,"['evacuate', 'home', 'katrina', 'rita', 'your home']",5,4,11,1.5,3.5500000000000003,1.4000000000000001,2.5357142857142856,True,Hurricane Katrina 2005,"[{'keyword': 'evacuate', 'construct': 'Housing / Shelter', 'weight': 0.9}, {'keyword': 'katrina', 'construct': 'Trauma / Health', 'weight': 0.9}, {'keyword': 'rita', 'construct': 'Trauma / Health', 'weight': 0.9}, {'keyword': 'your home', 'construct': 'Housing / Shelter', 'weight': 0.85}]","['Housing / Shelter', 'Trauma / Health']"
Laid off or furloughed because of the pandemic,COVID-19,Crisis-Specific,Toggle: Pandemic / Disaster,"['furloughed', 'laid', 'pandemic', 'the pandemic']",4,3,8,1.5,2.55,1.1,2.318181818181818,True,COVID-19 2021,"[{'keyword': 'furloughed', 'construct': 'Employment', 'weight': 0.75}, {'keyword': 'pandemic', 'construct': 'Trauma / Health', 'weight': 0.9}, {'keyword': 'the pandemic', 'construct': 'Trauma / Health', 'weight': 0.9}]","['Employment', 'Trauma / Health']"
Did you lose your job because of Katrina or Rita?,Hurricane Katrina 2007,Crisis-Specific,Toggle: Pandemic / Disaster,"['job', 'katrina', 'lose', 'rita', 'your job']",5,4,10,2.5,3.2,1.5,2.1333333333333333,True,Hurricane Katrina 2005,"[{'keyword': 'job', 'construct': 'Employment', 'weight': 0.7}, {'keyword': 'katrina', 'construct': 'Trauma / Health', 'weight': 0.9}, {'keyword': 'rita', 'construct': 'Trauma / Health', 'weight': 0.9}, {'keyword': 'your job', 'construct': 'Employment', 'weight': 0.7}]","['Employment', 'Trauma / Health']"
How afraid were you during Katrina or Rita that you might be killed or seriously injured?,Hurricane Katrina 2007,Crisis-Specific,Toggle: Pandemic / Disaster,"['afraid', 'injured', 'katrina', 'killed', 'rita', 'seriously injured', 'you']",7,5,16,3.0,4.6499999999999995,2.2,2.1136363636363633,True,Hurricane Katrina 2005,"[{'keyword': 'injured', 'construct': 'Trauma / Health', 'weight': 0.95}, {'keyword': 'katrina', 'construct': 'Trauma / Health', 'weight': 0.9}, {'keyword': 'killed', 'construct': 'Trauma / Health', 'weight': 0.95}, {'keyword': 'rita', 'construct': 'Trauma / Health', 'weight': 0.9}, {'keyword': 'seriously injured', 'construct': 'Trauma / Health', 'weight': 0.95}]",['Trauma / Health']
Was your business damaged or destroyed by Katrina or Rita?,Hurricane Katrina 2007,Crisis-Specific,Toggle: Pandemic / Disaster,"['business', 'damaged', 'destroyed', 'katrina', 'rita', 'your business']",6,4,10,3.0,3.3,1.6,2.0624999999999996,True,Hurricane Katrina 2005,"[{'keyword': 'business', 'construct': 'Economic / Income', 'weight': 0.75}, {'keyword': 'katrina', 'construct': 'Trauma / Health', 'weight': 0.9}, {'keyword': 'rita', 'construct': 'Trauma / Health', 'weight': 0.9}, {'keyword': 'your business', 'construct': 'Economic / Income', 'weight': 0.75}]","['Economic / Income', 'Trauma / Health']"
How severe was the property damage to your home from Katrina or Rita?,Hurricane Katrina 2007,Crisis-Specific,Toggle: Pandemic / Disaster,"['damage', 'home', 'katrina', 'property damage', 'rita', 'severe', 'your home']",7,4,13,2.5,3.6,1.8,2.0,True,Hurricane Katrina 2005,"[{'keyword': 'katrina', 'construct': 'Trauma / Health', 'weight': 0.9}, {'keyword': 'property damage', 'construct': 'Housing / Shelter', 'weight': 0.95}, {'keyword': 'rita', 'construct': 'Trauma / Health', 'weight': 0.9}, {'keyword': 'your home', 'construct': 'Housing / Shelter', 'weight': 0.85}]","['Housing / Shelter', 'Trauma / Health']"
Were you physically injured in any way as a result of Katrina or Rita?,Hurricane Katrina 2007,Crisis-Specific,Toggle: Pandemic / Disaster,"['any way', 'injured', 'katrina', 'physically injured', 'result', 'rita']",6,4,14,2.5,3.6999999999999997,1.9000000000000001,1.9473684210526312,True,Hurricane Katrina 2005,"[{'keyword': 'injured', 'construct': 'Trauma / Health', 'weight': 0.95}, {'keyword': 'katrina', 'construct': 'Trauma / Health', 'weight': 0.9}, {'keyword': 'physically injured', 'construct': 'Trauma / Health', 'weight': 0.95}, {'keyword': 'rita', 'construct': 'Trauma / Health', 'weight': 0.9}]",['Trauma / Health']
Calculate respondents age,Understanding Society,Generic,Generic Core,"['age', 'calculate respondent', 'respondent']",3,1,3,0.0,0.5,0.30000000000000004,1.6666666666666665,True,Understanding Society,"[{'keyword': 'age', 'construct': 'Demographics', 'weight': 0.5}]",['Demographics']
Was your home damaged or destroyed by Katrina or Rita?,Hurricane Katrina 2007,Crisis-Specific,Toggle: Pandemic / Disaster,"['damaged', 'destroyed', 'home', 'katrina', 'rita', 'your home']",6,3,10,3.0,2.65,1.6,1.6562499999999998,True,Hurricane Katrina 2005,"[{'keyword': 'katrina', 'construct': 'Trauma / Health', 'weight': 0.9}, {'keyword': 'rita', 'construct': 'Trauma / Health', 'weight': 0.9}, {'keyword': 'your home', 'construct': 'Housing / Shelter', 'weight': 0.85}]","['Housing / Shelter', 'Trauma / Health']"
How long did you stay in temporary housing after Katrina or Rita?,Hurricane Katrina 2007,Crisis-Specific,Toggle: Pandemic / Disaster,"['housing', 'katrina', 'long', 'rita', 'temporary housing', 'you']",6,3,12,2.5,2.7,1.7000000000000002,1.588235294117647,True,Hurricane Katrina 2005,"[{'keyword': 'katrina', 'construct': 'Trauma / Health', 'weight': 0.9}, {'keyword': 'rita', 'construct': 'Trauma / Health', 'weight': 0.9}, {'keyword': 'temporary housing', 'construct': 'Housing / Shelter', 'weight': 0.9}]","['Housing / Shelter', 'Trauma / Health']"
Did you receive any help from FEMA Federal Emergency Management Agency?,Hurricane Katrina 2007,Crisis-Specific,Toggle: Pandemic / Disaster,"['any help', 'emergency management agency', 'federal emergency', 'fema', 'receive']",5,3,11,1.0,1.9999999999999998,1.3,1.5384615384615383,True,Hurricane Katrina 2005,"[{'keyword': 'emergency management agency', 'construct': 'Government Aid', 'weight': 0.7}, {'keyword': 'federal emergency', 'construct': 'Government Aid', 'weight': 0.6}, {'keyword': 'fema', 'construct': 'Government Aid', 'weight': 0.7}]",['Government Aid']
Did you experience hurricane force winds at your location during Katrina or Rita?,Hurricane Katrina 2007,Crisis-Specific,Toggle: Pandemic / Disaster,"['experience', 'force winds', 'hurricane', 'katrina', 'location', 'rita', 'your location']",7,3,13,2.5,2.7,1.8,1.5,True,Hurricane Katrina 2005,"[{'keyword': 'hurricane', 'construct': 'Trauma / Health', 'weight': 0.9}, {'keyword': 'katrina', 'construct': 'Trauma / Health', 'weight': 0.9}, {'keyword': 'rita', 'construct': 'Trauma / Health', 'weight': 0.9}]",['Trauma / Health']
"Since Katrina and Rita, have you been bothered by repeated disturbing memories thoughts or images of the hurricane?",Hurricane Katrina 2007,Crisis-Specific,Toggle: Pandemic / Disaster,"['disturbing memories', 'hurricane', 'images', 'katrina', 'memories', 'repeated', 'rita', 'thoughts']",8,4,18,3.5,3.65,2.5,1.46,True,Hurricane Katrina 2005,"[{'keyword': 'disturbing memories', 'construct': 'Trauma / Health', 'weight': 0.95}, {'keyword': 'hurricane', 'construct': 'Trauma / Health', 'weight': 0.9}, {'keyword': 'katrina', 'construct': 'Trauma / Health', 'weight': 0.9}, {'keyword': 'rita', 'construct': 'Trauma / Health', 'weight': 0.9}]",['Trauma / Health']
Were you displaced from the place you were living because of Katrina or Rita?,Hurricane Katrina 2007,Crisis-Specific,Toggle: Pandemic / Disaster,"['displaced', 'katrina', 'place', 'rita', 'the place', 'you']",6,3,14,2.5,2.75,1.9000000000000001,1.4473684210526314,True,Hurricane Katrina 2005,"[{'keyword': 'displaced', 'construct': 'Housing / Shelter', 'weight': 0.95}, {'keyword': 'katrina', 'construct': 'Trauma / Health', 'weight': 0.9}, {'keyword': 'rita', 'construct': 'Trauma / Health', 'weight': 0.9}]","['Housing / Shelter', 'Trauma / Health']"
Was anyone in your immediate family killed as a result of Katrina or Rita?,Hurricane Katrina 2007,Crisis-Specific,Toggle: Pandemic / Disaster,"['anyone', 'family', 'immediate family', 'katrina', 'killed', 'result', 'rita']",7,3,14,2.5,2.75,1.9000000000000001,1.4473684210526314,False,Hurricane Katrina 2005,"[{'keyword': 'katrina', 'construct': 'Trauma / Health', 'weight': 0.9}, {'keyword': 'killed', 'construct': 'Trauma / Health', 'weight': 0.95}, {'keyword': 'rita', 'construct': 'Trauma / Health', 'weight': 0.9}]",['Trauma / Health']
How much financial help did you receive from FEMA?,Hurricane Katrina 2007,Crisis-Specific,Toggle: Pandemic / Disaster,"['fema', 'financial help', 'help', 'much', 'receive']",5,2,9,1.0,1.5,1.1,1.3636363636363635,False,Hurricane Katrina 2005,"[{'keyword': 'fema', 'construct': 'Government Aid', 'weight': 0.7}, {'keyword': 'financial help', 'construct': 'Financial Coping', 'weight': 0.8}]","['Financial Coping', 'Government Aid']"
"Since Katrina and Rita, have you been bothered by repeated disturbing dreams about the hurricane?",Hurricane Katrina 2007,Crisis-Specific,Toggle: Pandemic / Disaster,"['disturbing dreams', 'dreams', 'hurricane', 'katrina', 'repeated', 'rita']",6,3,15,3.0,2.7,2.1,1.2857142857142858,False,Hurricane Katrina 2005,"[{'keyword': 'hurricane', 'construct': 'Trauma / Health', 'weight': 0.9}, {'keyword': 'katrina', 'construct': 'Trauma / Health', 'weight': 0.9}, {'keyword': 'rita', 'construct': 'Trauma / Health', 'weight': 0.9}]",['Trauma / Health']
And are you... 1. Male 2. Female,Understanding Society,Generic,Generic Core,"['... 1', '1. male', 'female', 'male 2', 'you']",5,3,7,2.0,1.35,1.1,1.2272727272727273,True,Understanding Society,"[{'keyword': '1. male', 'construct': 'Demographics', 'weight': 0.45}, {'keyword': 'female', 'construct': 'Demographics', 'weight': 0.45}, {'keyword': 'male 2', 'construct': 'Demographics', 'weight': 0.45}]",['Demographics']
"Since Katrina and Rita, have you had trouble relaxing?",Hurricane Katrina 2007,Crisis-Specific,Toggle: Pandemic / Disaster,"['katrina', 'relaxing', 'rita', 'trouble']",4,2,9,3.0,1.8,1.5,1.2,False,Hurricane Katrina 2005,"[{'keyword': 'katrina', 'construct': 'Trauma / Health', 'weight': 0.9}, {'keyword': 'rita', 'construct': 'Trauma / Health', 'weight': 0.9}]",['Trauma / Health']
"Can I just check, are you normally resident at this address?",Understanding Society,Generic,Generic Core,"['address', 'check', 'normally resident', 'this address', 'you']",5,3,11,0.5,1.4,1.2000000000000002,1.1666666666666665,True,Understanding Society,"[{'keyword': 'address', 'construct': 'Demographics', 'weight': 0.45}, {'keyword': 'normally resident', 'construct': 'Demographics', 'weight': 0.5}, {'keyword': 'this address', 'construct': 'Demographics', 'weight': 0.45}]",['Demographics']
How many days were you without electricity after Katrina or Rita?,Hurricane Katrina 2007,Crisis-Specific,Toggle: Pandemic / Disaster,"['days', 'electricity', 'katrina', 'many days', 'rita', 'without electricity', 'you']",7,2,11,2.5,1.8,1.6,1.125,False,Hurricane Katrina 2005,"[{'keyword': 'katrina', 'construct': 'Trauma / Health', 'weight': 0.9}, {'keyword': 'rita', 'construct': 'Trauma / Health', 'weight': 0.9}]",['Trauma / Health']
Overall how would you rate the impact of Katrina or Rita on your family?,Hurricane Katrina 2007,Crisis-Specific,Toggle: Pandemic / Disaster,"['family', 'impact', 'katrina', 'overall', 'rate', 'rita', 'your family']",7,2,14,1.5,1.8,1.7000000000000002,1.0588235294117647,False,Hurricane Katrina 2005,"[{'keyword': 'katrina', 'construct': 'Trauma / Health', 'weight': 0.9}, {'keyword': 'rita', 'construct': 'Trauma / Health', 'weight': 0.9}]",['Trauma / Health']
How many days were you without running water after Katrina or Rita?,Hurricane Katrina 2007,Crisis-Specific,Toggle: Pandemic / Disaster,"['days', 'katrina', 'many days', 'rita', 'running water', 'water', 'you']",7,2,12,2.5,1.8,1.7000000000000002,1.0588235294117647,False,Hurricane Katrina 2005,"[{'keyword': 'katrina', 'construct': 'Trauma / Health', 'weight': 0.9}, {'keyword': 'rita', 'construct': 'Trauma / Health', 'weight': 0.9}]",['Trauma / Health']
Did you receive help from other government agencies or nonprofit organizations?,Hurricane Katrina 2007,Crisis-Specific,Toggle: Pandemic / Disaster,"['agencies', 'government agencies', 'help', 'nonprofit organizations', 'other government', 'receive']",6,2,11,0.5,1.2,1.2000000000000002,0.9999999999999998,False,Hurricane Katrina 2005,"[{'keyword': 'government agencies', 'construct': 'Government Aid', 'weight': 0.6}, {'keyword': 'other government', 'construct': 'Government Aid', 'weight': 0.6}]",['Government Aid']
"Since Katrina and Rita, have you been worrying too much about different things?",Hurricane Katrina 2007,Crisis-Specific,Toggle: Pandemic / Disaster,"['different things', 'katrina', 'rita', 'things', 'worrying']",5,2,13,3.0,1.8,1.9000000000000001,0.9473684210526315,False,Hurricane Katrina 2005,"[{'keyword': 'katrina', 'construct': 'Trauma / Health', 'weight': 0.9}, {'keyword': 'rita', 'construct': 'Trauma / Health', 'weight': 0.9}]",['Trauma / Health']
"Since Katrina and Rita, have you felt nervous anxious or on edge?",Hurricane Katrina 2007,Crisis-Specific,Toggle: Pandemic / Disaster,"['anxious', 'edge', 'katrina', 'nervous', 'rita']",5,2,12,3.5,1.8,1.9000000000000004,0.9473684210526314,False,Hurricane Katrina 2005,"[{'keyword': 'katrina', 'construct': 'Trauma / Health', 'weight': 0.9}, {'keyword': 'rita', 'construct': 'Trauma / Health', 'weight': 0.9}]",['Trauma / Health']
"Since Katrina and Rita, have you felt your heart pounding or racing?",Hurricane Katrina 2007,Crisis-Specific,Toggle: Pandemic / Disaster,"['heart pounding', 'katrina', 'pounding', 'racing', 'rita', 'your heart']",6,2,12,3.5,1.8,1.9000000000000004,0.9473684210526314,False,Hurricane Katrina 2005,"[{'keyword': 'katrina', 'construct': 'Trauma / Health', 'weight': 0.9}, {'keyword': 'rita', 'construct': 'Trauma / Health', 'weight': 0.9}]",['Trauma / Health']
"Since Katrina and Rita, have you been unable to stop or control worrying?",Hurricane Katrina 2007,Crisis-Specific,Toggle: Pandemic / Disaster,"['control', 'katrina', 'rita', 'stop', 'unable', 'worrying']",6,2,13,3.5,1.8,2.0,0.9,False,Hurricane Katrina 2005,"[{'keyword': 'katrina', 'construct': 'Trauma / Health', 'weight': 0.9}, {'keyword': 'rita', 'construct': 'Trauma / Health', 'weight': 0.9}]",['Trauma / Health']
"Since Katrina and Rita, how often have you been bothered by trouble concentrating on things?",Hurricane Katrina 2007,Crisis-Specific,Toggle: Pandemic / Disaster,"['concentrating', 'katrina', 'rita', 'things', 'trouble']",5,2,15,3.0,1.8,2.1,0.8571428571428571,False,Hurricane Katrina 2005,"[{'keyword': 'katrina', 'construct': 'Trauma / Health', 'weight': 0.9}, {'keyword': 'rita', 'construct': 'Trauma / Health', 'weight': 0.9}]",['Trauma / Health']
"Since Katrina and Rita, how often have you been bothered by feeling bad about yourself?",Hurricane Katrina 2007,Crisis-Specific,Toggle: Pandemic / Disaster,"['bad', 'feeling bad', 'katrina', 'rita', 'yourself']",5,2,15,3.0,1.8,2.1,0.8571428571428571,False,Hurricane Katrina 2005,"[{'keyword': 'katrina', 'construct': 'Trauma / Health', 'weight': 0.9}, {'keyword': 'rita', 'construct': 'Trauma / Health', 'weight': 0.9}]",['Trauma / Health']
Have you been able to return to your original home?,Hurricane Katrina 2007,Crisis-Specific,Toggle: Pandemic / Disaster,"['able', 'home', 'original home', 'return', 'you']",5,1,10,0.0,0.85,1.0,0.85,False,Hurricane Katrina 2005,"[{'keyword': 'original home', 'construct': 'Housing / Shelter', 'weight': 0.85}]",['Housing / Shelter']
"Since Katrina and Rita, how often have you been bothered by poor appetite or overeating?",Hurricane Katrina 2007,Crisis-Specific,Toggle: Pandemic / Disaster,"['appetite', 'katrina', 'overeating', 'poor appetite', 'rita']",5,2,15,3.5,1.8,2.2,0.8181818181818181,False,Hurricane Katrina 2005,"[{'keyword': 'katrina', 'construct': 'Trauma / Health', 'weight': 0.9}, {'keyword': 'rita', 'construct': 'Trauma / Health', 'weight': 0.9}]",['Trauma / Health']
"Since Katrina and Rita, have you felt emotionally distant or cut off from other people?",Hurricane Katrina 2007,Crisis-Specific,Toggle: Pandemic / Disaster,"['cut off', 'distant', 'emotionally distant', 'katrina', 'other people', 'rita']",6,2,15,3.5,1.8,2.2,0.8181818181818181,False,Hurricane Katrina 2005,"[{'keyword': 'katrina', 'construct': 'Trauma / Health', 'weight': 0.9}, {'keyword': 'rita', 'construct': 'Trauma / Health', 'weight': 0.9}]",['Trauma / Health']
"Since Katrina and Rita, how often have you been bothered by poor appetite or overeating?",Hurricane Katrina 2007,Crisis-Specific,Toggle: Pandemic / Disaster,"['appetite', 'katrina', 'overeating', 'poor appetite', 'rita']",5,2,15,3.5,1.8,2.2,0.8181818181818181,False,Hurricane Katrina 2005,"[{'keyword': 'katrina', 'construct': 'Trauma / Health', 'weight': 0.9}, {'keyword': 'rita', 'construct': 'Trauma / Health', 'weight': 0.9}]",['Trauma / Health']
Did you have to move to a different city or state because of Katrina or Rita?,Hurricane Katrina 2007,Crisis-Specific,Toggle: Pandemic / Disaster,"['city', 'different city', 'katrina', 'move', 'rita', 'state', 'you']",7,2,16,3.0,1.8,2.2,0.8181818181818181,False,Hurricane Katrina 2005,"[{'keyword': 'katrina', 'construct': 'Trauma / Health', 'weight': 0.9}, {'keyword': 'rita', 'construct': 'Trauma / Health', 'weight': 0.9}]",['Trauma / Health']
"Since Katrina and Rita, how often have you been bothered by feeling down depressed or hopeless?",Hurricane Katrina 2007,Crisis-Specific,Toggle: Pandemic / Disaster,"['depressed', 'feeling down', 'hopeless', 'katrina', 'rita']",5,2,16,3.5,1.8,2.3000000000000003,0.7826086956521738,False,Hurricane Katrina 2005,"[{'keyword': 'katrina', 'construct': 'Trauma / Health', 'weight': 0.9}, {'keyword': 'rita', 'construct': 'Trauma / Health', 'weight': 0.9}]",['Trauma / Health']
"Since Katrina and Rita, how often have you been bothered by feeling tired or having little energy?",Hurricane Katrina 2007,Crisis-Specific,Toggle: Pandemic / Disaster,"['energy', 'feeling tired', 'katrina', 'little energy', 'rita', 'tired']",6,2,17,3.5,1.8,2.4000000000000004,0.7499999999999999,False,Hurricane Katrina 2005,"[{'keyword': 'katrina', 'construct': 'Trauma / Health', 'weight': 0.9}, {'keyword': 'rita', 'construct': 'Trauma / Health', 'weight': 0.9}]",['Trauma / Health']
"Since Katrina and Rita, how often have you been bothered by little interest or pleasure in doing things?",Hurricane Katrina 2007,Crisis-Specific,Toggle: Pandemic / Disaster,"['doing things', 'interest', 'katrina', 'little interest', 'pleasure', 'rita', 'things']",7,2,18,3.5,1.8,2.5,0.72,False,Hurricane Katrina 2005,"[{'keyword': 'katrina', 'construct': 'Trauma / Health', 'weight': 0.9}, {'keyword': 'rita', 'construct': 'Trauma / Health', 'weight': 0.9}]",['Trauma / Health']
"Since Katrina and Rita, how often have you been bothered by moving or speaking slowly or being restless?",Hurricane Katrina 2007,Crisis-Specific,Toggle: Pandemic / Disaster,"['being restless', 'katrina', 'moving', 'restless', 'rita', 'slowly', 'speaking']",7,2,18,4.0,1.8,2.6,0.6923076923076923,False,Hurricane Katrina 2005,"[{'keyword': 'katrina', 'construct': 'Trauma / Health', 'weight': 0.9}, {'keyword': 'rita', 'construct': 'Trauma / Health', 'weight': 0.9}]",['Trauma / Health']
"Since Katrina and Rita, how often have you been bothered by trouble falling or staying asleep or sleeping too much?",Hurricane Katrina 2007,Crisis-Specific,Toggle: Pandemic / Disaster,"['asleep', 'falling', 'katrina', 'rita', 'sleeping', 'staying asleep', 'trouble']",7,2,20,4.0,1.8,2.8,0.6428571428571429,False,Hurricane Katrina 2005,"[{'keyword': 'katrina', 'construct': 'Trauma / Health', 'weight': 0.9}, {'keyword': 'rita', 'construct': 'Trauma / Health', 'weight': 0.9}]",['Trauma / Health']
