question_text,source,module_type,toggle_category,keywords,n_keywords,n_tagged,word_count,complexity,Ui,Bi,Ri,selected_for_module
How many businesses or financial interests did you have in ?,Govt Shutdown (Income),Generic,Generic Core,"['financial interests', 'how many businesses', 'many businesses', 'you']",4,3,11,0.5,2.3,1.2000000000000002,1.9166666666666663,False
"What happened - did  employer close or go out of business, did  quit, or what?",Govt Shutdown (Income),Generic,Generic Core,"['business', 'employer', 'employer close', 'go', 'happened', 'quit', 'what']",7,5,15,2.0,3.45,1.9,1.8157894736842106,False
Did you tell me earlier about all the jobs that go with (this / these) income(s) ? (Including the jobs we already talked about),Govt Shutdown (Income),Generic,Generic Core,"['(this / these) income(s', 'all the jobs', 'already talked', 'earlier', 'go', 'including', 'income', 'jobs', 'tell', 'that', 'the jobs', 'you']",12,6,24,0.0,4.300000000000001,2.4000000000000004,1.7916666666666667,False
Did you tell me about this work earlier?,Govt Shutdown (Income),Generic,Generic Core,"['tell', 'this work', 'work earlier', 'you']",4,2,8,0.0,1.4,0.8,1.7499999999999998,False
"(Because of the shutdown,) did you lose any earnings, after any retroactive pay was received?",Govt Shutdown (Crisis),Crisis-Specific,Toggle: Financial Crisis,"['any earnings', 'any retroactive pay', 'earnings', 'lose', 'received', 'retroactive pay', 'shutdown ,)', 'the shutdown', 'you']",9,4,15,1.0,2.9,1.7,1.7058823529411764,False
"Is that the federal, state, or local government",Govt Shutdown (Income),Generic,Generic Core,"['federal', 'local government', 'state', 'that', 'the federal, state, or local government']",5,3,8,1.5,1.7999999999999998,1.1,1.636363636363636,False
How much was from tips?,Govt Shutdown (Income),Generic,Generic Core,"['much', 'tips']",2,1,5,0.0,0.8,0.5,1.6,False
How much was from bonuses?,Govt Shutdown (Income),Generic,Generic Core,"['bonuses', 'much']",2,1,5,0.0,0.8,0.5,1.6,False
How much was from overtime?,Govt Shutdown (Income),Generic,Generic Core,"['much', 'overtime']",2,1,5,0.0,0.8,0.5,1.6,False
How much was from commissions?,Govt Shutdown (Income),Generic,Generic Core,"['commissions', 'much']",2,1,5,0.0,0.8,0.5,1.6,False
The amount entered is per:,Govt Shutdown (Crisis),Crisis-Specific,Generic Core,"['amount entered', 'per', 'the amount']",3,1,5,0.0,0.8,0.5,1.6,False
Managed financial difficulties by . . . filing for unemployment,COVID-19,Crisis-Specific,Toggle: Pandemic / Disaster,"['filing', 'managed financial difficulties', 'unemployment']",3,2,10,0.0,1.6,1.0,1.6,False
In what month and year did  start working at this business?,Govt Shutdown (Income),Generic,Generic Core,"['business', 'month', 'start working', 'this business', 'what month', 'year']",6,3,11,1.5,2.2,1.4000000000000001,1.5714285714285714,False
Then I would like to ask you some questions now about the work ] did for this income. Did  work for the government or a private company?,Govt Shutdown (Income),Generic,Generic Core,"['a private company', 'ask', 'government', 'income', 'private company', 'questions', 'some questions', 'the government', 'the work', 'this income', 'work', 'would like', 'you']",13,6,27,0.5,4.2,2.8000000000000003,1.5,False
How much did ] make at this business in ?,Govt Shutdown (Income),Generic,Generic Core,"['business', 'make', 'much', 'this business']",4,2,10,0.0,1.5,1.0,1.5,False
Number of Businesses at G6,Govt Shutdown (Income),Generic,Generic Core,"['businesses', 'g6', 'number']",3,1,5,0.0,0.75,0.5,1.5,False
"How is it that ] worked in , but did not receive earnings from it?",Govt Shutdown (Income),Generic,Generic Core,"['earnings', 'receive earnings', 'worked']",3,3,15,0.5,2.3,1.6,1.4374999999999998,False
Managed financial difficulties by . . . using money from retirement savings,COVID-19,Crisis-Specific,Generic Core,"['managed financial difficulties', 'money', 'retirement savings', 'using money']",4,2,12,0.0,1.7,1.2000000000000002,1.4166666666666665,False
Were you or someone in your family living there furloughed (because of the shutdown)?,Govt Shutdown (Crisis),Crisis-Specific,Toggle: Financial Crisis,"['family living', 'furloughed', 'shutdown )?', 'someone', 'the shutdown', 'you', 'your family']",7,3,14,0.5,2.05,1.5000000000000002,1.3666666666666663,False
Who was financially affected by the federal government shutdown?,Govt Shutdown (Crisis),Crisis-Specific,Toggle: Financial Crisis,"['federal government shutdown', 'financially affected', 'the federal government shutdown', 'who']",4,2,9,0.0,1.2,0.9,1.3333333333333333,False
Managed financial difficulties by . . . drawing down on existing equity or line of credit loans,COVID-19,Crisis-Specific,Generic Core,"['credit loans', 'drawing', 'existing equity', 'line', 'managed financial difficulties']",5,3,17,0.5,2.35,1.8000000000000003,1.3055555555555554,False
Managed financial difficulties by . . . obtaining financial help from a family member who doesn’t live with you,COVID-19,Crisis-Specific,Generic Core,"['a family member', 'family member', 'financial help', 'live', 'managed financial difficulties', 'obtaining financial help', 'who', 'you', '’']",9,3,19,0.0,2.45,1.9000000000000001,1.2894736842105263,False
"What happened - did it go out of business, did  quit, or what?",Govt Shutdown (Income),Generic,Generic Core,"['business', 'go', 'happened', 'quit', 'what']",5,3,13,1.5,2.05,1.6,1.2812499999999998,False
What kind of business was that?,Govt Shutdown (Income),Generic,Generic Core,"['business', 'kind', 'that', 'what kind']",4,1,6,0.0,0.75,0.6000000000000001,1.2499999999999998,False
"What were the total operating expenses, not counting living expenses (in )?",Govt Shutdown (Income),Generic,Generic Core,"[')?', 'counting living expenses', 'living expenses', 'the total operating expenses', 'total operating expenses', 'what']",6,2,12,0.5,1.6,1.3000000000000003,1.2307692307692306,False
And are you... 1. Male 2. Female,Understanding Society,Generic,Generic Core,"['... 1', '1. male', 'female', 'male 2', 'you']",5,3,7,2.0,1.35,1.1,1.2272727272727273,False
"Because of the shutdown, did you or anyone in your family living there miss any paychecks or receive paychecks for zero dollars, even if retroactive pay is eventually received?",Govt Shutdown (Crisis),Crisis-Specific,Toggle: Financial Crisis,"['any paychecks', 'anyone', 'even', 'eventually received', 'family living', 'miss', 'paychecks', 'receive paychecks', 'retroactive pay', 'shutdown', 'the shutdown', 'you', 'your family', 'zero dollars']",14,6,29,3.0,4.2,3.5000000000000004,1.2,False
What sort of work did  do?,Govt Shutdown (Income),Generic,Generic Core,"['sort', 'what sort', 'work']",3,1,6,0.0,0.7,0.6000000000000001,1.1666666666666665,False
In what month and year did  start this work?,Govt Shutdown (Income),Generic,Generic Core,"['month', 'start', 'this work', 'what month', 'work', 'year']",6,2,9,1.5,1.4,1.2000000000000002,1.1666666666666665,False
What sort of work did  do?,Govt Shutdown (Income),Generic,Generic Core,"['sort', 'what sort', 'work']",3,1,6,0.0,0.7,0.6000000000000001,1.1666666666666665,False
"(Please remind me,) was it a corporation or an unincorporated business?",Govt Shutdown (Income),Generic,Generic Core,"[',)', 'a corporation', 'an unincorporated business', 'corporation', 'please remind', 'unincorporated business']",6,2,11,1.0,1.5,1.3,1.1538461538461537,False
"And, how many weeks did  work at this in ?",Govt Shutdown (Income),Generic,Generic Core,"['many weeks', 'this', 'work']",3,2,10,1.5,1.35,1.3,1.0384615384615385,False
Managed financial difficulties by . . .doing something else,COVID-19,Crisis-Specific,Generic Core,"['managed financial difficulties', 'something', 'something else']",3,1,9,0.0,0.85,0.9,0.9444444444444444,False
Whether Spouse/Partner in FU,Govt Shutdown (Income),Generic,Generic Core,"['fu', 'partner', 'spouse/partner', 'whether spouse']",4,1,4,2.0,0.75,0.8,0.9375,False
Were you or someone in your family living there financially affected by the shutdown?,Govt Shutdown (Crisis),Crisis-Specific,Toggle: Financial Crisis,"['family living', 'financially affected', 'shutdown', 'someone', 'the shutdown', 'you', 'your family']",7,2,14,0.5,1.3,1.5000000000000002,0.8666666666666666,False
"What were ’s) / ’s] / ’s / ’s and ’s] total operating expenses, not counting living expenses?",Govt Shutdown (Income),Generic,Generic Core,"['/ ’s] / ’s / ’s and ’s] total operating expenses', 'counting living expenses', 'living expenses', 'total operating expenses', 'what', '’']",6,2,18,1.0,1.6,2.0,0.8,False
What kind of business or industry was that in?,Govt Shutdown (Income),Generic,Generic Core,"['business', 'industry', 'kind', 'that', 'what kind']",5,1,9,0.5,0.75,1.0,0.75,False
Whether Worked For This Corp But Did Not Report It,Govt Shutdown (Income),Generic,Generic Core,"['corp', 'report', 'this corp', 'whether worked']",4,1,10,0.0,0.7,1.0,0.7,False
In which months during  ] working at it?,Govt Shutdown (Income),Generic,Generic Core,"['months', 'which months', 'working']",3,1,8,1.0,0.7,1.0,0.7,False
"How much did ] earn altogether from wages or salaries in , that is, before anything was deducted for taxes or other things?",Govt Shutdown (Income),Generic,Generic Core,"['anything', 'deducted', 'earn altogether', 'much', 'other things', 'salaries', 'taxes', 'things', 'wages']",9,2,23,2.0,1.6,2.7,0.5925925925925926,False
We need to make sure we are surveying the correct person. What is your date of birth?,Understanding Society,Generic,Generic Core,"['birth', 'correct person', 'date', 'make sure', 'need', 'surveying', 'the correct person', 'what', 'your date']",9,2,17,0.0,1.0,1.7000000000000002,0.588235294117647,False
"Please can you tell us your new address? If you need to leave any of the boxes blank, please click ‘Next’ twice",Understanding Society,nan,Generic Core,"['any', 'boxes blank', 'leave', 'need', 'new address', 'please', 'tell us', 'the boxes', 'you', 'your new address']",10,2,22,0.5,1.1,2.3000000000000003,0.47826086956521735,False
"What were total receipts from farming in , including soil bank payments and commodity credit loans?",Govt Shutdown (Income),Generic,Generic Core,"['commodity credit loans', 'farming', 'including soil bank payments', 'soil bank payments', 'total receipts', 'what']",6,1,16,1.0,0.8,1.8,0.4444444444444445,False
Please can you tell us your new postcode?  1. I live outside the UK,Understanding Society,nan,Generic Core,"['1', 'live outside', 'new postcode', 'please', 'tell us', 'the uk', 'uk', 'you', 'your new postcode']",9,2,14,2.0,0.8,1.8000000000000003,0.4444444444444444,False
Whether Reference Person or Spouse/Partner is a Farmer or Rancher on Current Main Job?,Govt Shutdown (Income),Generic,Generic Core,"['a farmer', 'current main job', 'farmer', 'partner', 'rancher', 'reference person', 'spouse', 'spouse/partner', 'whether reference person']",9,1,14,2.0,0.7,1.8000000000000003,0.3888888888888888,False
How much was that altogether?,Govt Shutdown (Crisis),Crisis-Specific,Generic Core,"['altogether', 'much', 'that']",3,0,5,0.0,0.0,0.5,0.0,False
Number of FU Members,Govt Shutdown (Crisis),Crisis-Specific,Generic Core,"['fu members', 'number']",2,0,4,0.0,0.0,0.4,0.0,False
In what month and year was that?,Govt Shutdown (Income),Generic,Generic Core,"['month', 'that', 'what month', 'year']",4,0,7,1.5,0.0,1.0,0.0,False
How much was it?,COVID-19,Crisis-Specific,Generic Core,['much'],1,0,4,0.0,0.0,0.4,0.0,False
"Flag of 1 if the dob matches ff_dobd/ff_dobm/ff_doby, and 0 if these do not match.",Understanding Society,Generic,Generic Core,"['0', '1', 'dob matches ff_dobd', 'ff_dobm', 'ff_doby', 'flag', 'match', 'the dob', 'these']",9,0,15,3.0,0.0,2.1,0.0,False
Which was that?,Govt Shutdown (Income),Generic,Generic Core,"['that', 'which']",2,0,3,0.0,0.0,0.30000000000000004,0.0,False
Same as above,Govt Shutdown (Income),Generic,Generic Core,[],0,0,3,0.0,0.0,0.30000000000000004,0.0,False
In what month and year was that?,Govt Shutdown (Income),Generic,Generic Core,"['month', 'that', 'what month', 'year']",4,0,7,1.5,0.0,1.0,0.0,False
